hgm	v	f_veg	f_h20	f_h40	f_h60	f_h80	f_h95	f_p20	f_p40	f_p60	f_p80	f_p95	cont_1	corr_1	savg_1	svar_1
16	174.78	26.582	11.26	12.15	13.401	14.609	15.729	25	46.552	66.379	84.483	96.552	11.56863785	0.002381859	13.86919308	174.0329742
13.2	135.13	17.647	7.542	8.821	9.771	11.01	12.54	29.524	50.476	69.048	85.714	97.143	14.23506165	0.21381861	14.26424694	191.7122955
16.28	293.94	6.838	11.093	12.854	14.273	15.615	18.294	28.44	49.541	67.89	85.321	97.248	20.1174469	0.332477778	10.77254581	129.4962769
26.3	394.32	13.617	15.924	19.054	20.874	23.185	25.334	31.034	51.724	69.458	85.714	96.552	25.47358704	0.260471135	13.68275642	195.0840607
22.9	359.76	21.721	14.483	17.384	20.724	22.484	26.683	32.984	53.927	71.728	86.911	97.382	20.42024612	0.371489734	10.48334694	128.282608
14.3	77.26	52.419	7.915	9.674	10.755	11.686	12.975	30.508	50.847	69.492	86.441	96.61	14.16767025	0.139883161	13.82921124	177.7077332
21.65	230.78	25.108	11.211	13.7	14.84	16.551	18.95	31.214	52.023	69.942	86.127	97.11	22.18593025	0.299405187	10.96453667	134.1150513
16.1	164.21	26.423	12.7	14.04	15.11	16.301	17.671	25.967	46.961	66.298	83.978	96.685	5.042050362	-0.052005656	12.06807899	128.7816467
8.85	73.3	27.523	4.36	5.699	6.949	7.748	8.639	34.177	54.43	72.152	87.342	97.468	12.97201729	-0.024701044	14.34762764	186.8794861
15.81	188.08	12.903	9.574	11.276	13.045	14.705	16.826	32.407	53.704	71.296	87.037	97.222	12.36350632	0.259535819	15.41553211	223.2458801
11.94	155.15	9.821	7.04	8.231	8.761	9.911	10.841	26.733	48.515	67.327	85.149	97.03	2.33605957	0.051263116	12.19124794	132.8235626
15.62	190.01	18.966	12.211	13.212	13.861	14.551	15.921	28.723	47.872	67.021	84.043	96.809	5.405066967	0.065284096	13.08966255	152.9362183
12.12	78.33	9.302	6.735	8.034	8.955	9.743	10.675	29.06	50.427	68.803	85.47	97.009	3.704467773	0.1084987	16.46047974	246.9620972
11.01	142.84	18.182	6.852	8.141	9.613	10.812	12.453	31.624	52.991	70.94	87.179	97.436	5.118094921	0.198713109	13.26191616	159.5006714
18.84	224.83	19.492	9.4	12.19	14.13	16.91	18.152	34.737	55.263	72.632	87.368	97.368	8.396774292	0.308225811	13.86257267	176.7530518
15.2	141.7	27.843	11.211	12.41	13.64	14.592	16.331	26.087	47.283	66.304	84.239	96.739	9.905220032	0.076550677	12.52748871	141.4724731
25.02	305.33	18.443	16.414	20.603	23.284	25.784	28.175	34.673	54.271	71.357	86.432	96.985	15.64022541	0.301452011	14.25672817	197.601532
24.2	381.94	27.419	15.502	17.754	19.854	22.553	24.022	28.889	50	68.889	85.556	96.667	32.4131813	0.129899368	12.0003233	155.6971741
21	375.6	11.382	14.666	16.106	17.886	19.296	20.936	27.523	48.624	66.972	84.404	96.33	13.7546978	0.328770101	11.95149803	141.0774689
7.26	56.36	26.383	3.917	4.959	5.958	6.858	7.698	32.948	54.913	72.254	87.283	97.11	2.832243204	0.24439919	13.71750641	169.8797455
10.4	62.81	11.382	7.101	7.962	8.661	9.401	11.112	26.606	47.706	66.972	85.321	97.248	2.235395908	-0.029711852	13.82421494	173.0635986
16.5	136.24	36.842	12.172	13.234	14.363	15.164	17.054	25	45.238	65.476	83.333	96.429	7.911962986	0.187624857	14.4088707	188.4141083
17.67	183.21	34.082	13.481	14.76	15.642	16.65	18.63	27.841	48.295	67.045	84.091	96.591	6.889532566	0.134868667	13.83468246	172.7230835
13.93	137.04	27.6	8.301	9.74	11.319	13.079	14.74	29.834	51.934	70.166	86.74	97.238	10.9789238	0.078796558	15.41460991	218.2235565
16.3	241.49	13.025	10.271	12.74	14.27	16.009	17.649	31.401	52.174	70.048	85.99	97.101	18.4214344	0.154441312	14.7017765	205.3492279
25.12	394.42	26.573	14.667	18.008	19.398	21.507	23.207	31.429	51.429	69.524	85.714	97.143	33.48641586	-0.007714901	14.19052505	198.4066467
13.4	161.11	14.224	8.316	10.726	12.086	13.486	15.887	35.176	55.779	72.362	87.437	97.487	13.65350246	0.225907952	17.08258057	273.8413696
7.35	35.42	31.405	3.167	3.989	5.349	6.817	8.119	33.133	57.229	75.301	89.157	97.59	2.474984169	0.31023401	14.7025032	196.091156
8.66	67.48	23.504	4.228	5.388	6.338	6.968	8.698	32.402	53.631	71.508	87.151	97.765	6.355284214	0.112405039	15.04255104	205.135025
12.7	79.12	23.577	6.086	7.755	9.005	10.556	11.895	34.043	55.319	72.34	88.298	97.872	11.83962631	0.182243899	15.33209801	217.1427002
15	125.53	49.004	10.068	11.018	11.937	13.037	14.189	27.344	48.438	67.188	84.375	96.875	6.082373142	0.151577145	13.95837402	175.5886536
14.6	123.36	34.711	12.269	13.51	14.679	16.43	18.4	31.646	51.899	69.62	86.076	97.468	5.332116127	0.453929275	11.81550694	129.0263062
16.9	214.8	29.508	11.429	13.289	14.409	14.88	16.159	31.395	51.163	68.605	84.884	96.512	11.74545479	0.234798387	11.68660259	128.5390778
16.46	174.73	22.449	9.886	14.057	15.616	18.537	20.976	42.982	61.404	76.316	89.474	98.246	20.93156815	0.088916153	13.69109154	178.8863983
9.24	70.72	46.296	5.582	6.321	6.82	7.631	8.411	29.31	50	68.966	86.207	96.552	3.312484503	0.123452045	10.64959621	99.33366394
12.5	86.68	48.75	9.362	10.791	11.741	14.251	15.912	31.707	52.033	70.732	86.992	97.561	5.574795246	0.504488587	12.63522816	148.9920349
28.41	399.78	34.513	17.9	21.431	23.32	25.349	27.239	29.73	50.676	68.243	85.135	96.622	11.35872269	0.206022993	9.811616898	91.60491943
